Source,Target,Type,Id,Label,timeset,Weight
1428,929,Undirected,22952,,,1
2271,2282,Undirected,23014,,,1
640,2282,Undirected,23049,,,1
502,2397,Undirected,23159,,,1
3371,1820,Undirected,23295,,,1
2271,1824,Undirected,23379,,,1
502,1824,Undirected,23418,,,1
640,1824,Undirected,23436,,,1
2016,1079,Undirected,23518,,,1
1997,461,Undirected,23668,,,1
1428,2110,Undirected,23743,,,1
2271,482,Undirected,23836,,,1
3371,482,Undirected,23839,,,1
502,3565,Undirected,23944,,,1
3371,2228,Undirected,24040,,,1
502,2228,Undirected,24044,,,1
640,2228,Undirected,24047,,,1
2271,3883,Undirected,24127,,,1
3371,2077,Undirected,24195,,,1
502,2077,Undirected,24197,,,1
640,2077,Undirected,24206,,,1
1428,2336,Undirected,24236,,,1
263,3588,Undirected,24266,,,1
2157,1873,Undirected,24290,,,1
3528,1874,Undirected,24318,,,1
2493,1874,Undirected,24336,,,1
2194,888,Undirected,24417,,,1
2271,888,Undirected,24451,,,1
640,888,Undirected,24470,,,1
1428,2611,Undirected,24493,,,1
263,3312,Undirected,24622,,,1
37,3781,Undirected,24704,,,1
3371,2469,Undirected,24809,,,1
2271,2337,Undirected,24850,,,1
1428,1751,Undirected,24914,,,1
3371,1183,Undirected,25138,,,1
1428,1776,Undirected,25252,,,1
640,2092,Undirected,25293,,,1
2271,2092,Undirected,25303,,,1
640,2308,Undirected,25386,,,1
1428,2266,Undirected,25452,,,1
1247,358,Undirected,25463,,,1
671,2106,Undirected,25525,,,1
1428,547,Undirected,25766,,,1
2271,2544,Undirected,25860,,,1
2224,1978,Undirected,25980,,,1
3071,3831,Undirected,26013,,,1
2271,3869,Undirected,26121,,,1
37,2151,Undirected,26135,,,1
2194,362,Undirected,26234,,,1
1428,551,Undirected,26311,,,1
1428,2276,Undirected,26399,,,1
3620,360,Undirected,26484,,,1
1428,2848,Undirected,26550,,,1
502,1861,Undirected,26617,,,1
1428,1068,Undirected,26684,,,1
2016,1068,Undirected,26697,,,1
1428,2682,Undirected,26750,,,1
2542,3768,Undirected,26794,,,1
2128,3596,Undirected,26925,,,1
750,3596,Undirected,26926,,,1
3618,3596,Undirected,26929,,,1
3623,3596,Undirected,26930,,,1
3158,2367,Undirected,26975,,,1
1247,2367,Undirected,26977,,,1
2271,3436,Undirected,26981,,,1
3371,3436,Undirected,27015,,,1
3371,2045,Undirected,27091,,,1
3371,3069,Undirected,27184,,,1
2271,3069,Undirected,27193,,,1
2460,1590,Undirected,27326,,,1
1428,3462,Undirected,27549,,,1
3371,2329,Undirected,27561,,,1
1873,1758,Undirected,27628,,,1
676,1758,Undirected,27633,,,1
1663,1758,Undirected,27641,,,1
24,1758,Undirected,27644,,,1
2271,3878,Undirected,27653,,,1
2460,1342,Undirected,27735,,,1
502,1349,Undirected,27842,,,1
640,1349,Undirected,27854,,,1
2194,1349,Undirected,27866,,,1
1428,2295,Undirected,28053,,,1
2542,3486,Undirected,28112,,,1
2271,728,Undirected,28132,,,1
640,2205,Undirected,28228,,,1
2271,2205,Undirected,28229,,,1
3371,3446,Undirected,28324,,,1
1428,1644,Undirected,28588,,,1
3071,387,Undirected,28643,,,1
